# region parcellated_structure_code r g b z1 z2 z3 z4 z5
#
# r g b          - RGB values of structure's color 
# z1 z2 z3 z4 z5 - structure measures (shown as heat maps in image) 

# Each region (except BSt) will have a left and right side

Fro TrFPoG/S 255 153 153 0.910094/0.1 0.265257/0.1 0.893188/0.1 0.220351 0.810623/0.1
Fro FMarG/S 204 0 51 0.631798/1 0.571077/1 0.332158/1 0.104455/1 0.173531/1
Fro MFS 255 153 51 0.502931 0.567394 0.854165 0.0401409 0.484983
Fro LOrS 102 0 0 0.108022 0.639396 0.013111 0.720184 0.151863
Fro SbOrS 255 51 102 0.101814 0.482945 0.254355 0.676697 0.366957
Fro OrS 255 204 204 0.896782 0.759896 0.720292 0.907623 0.491736
Fro RG 255 204 153 0.928611 0.377663 0.899756 0.77888 0.910094
Fro InfFGOrp 153 051 0 0.324255 0.194231 0.995553 0.161296 0.265257
Fro MFG 255 255 051 0.708034 0.501519 0.936301 0.716323 0.893188
Fro OrG 255 255 153 0.10519 0.209205 0.559397 0.705432 0.220351
Fro InfFGTrip 255 0 0 0.0782337 0.51053 0.196197 0.274211 0.631798
Fro InfFS 153 102 0 0.638602 0.448208 0.0398718 0.467251 0.571077
Fro MedOrS 255 102 0 0.0777565 0.0381004 0.160044 0.397832 0.332158
Fro SupFG 255 102 102 0.688898 0.534712 0.68692 0.272457 0.104455
Fro SupFS 204 153 0 0.465933 0.276555 0.450086 0.935069 0.502931
Fro InfFGOpp 255 204 0 0.0869318 0.453889 0.945625 0.855719 0.567394
Fro InfPrCS 255 153 0 0.120976 0.0141639 0.234515 0.866313 0.854165
Fro SupPrCS 255 0 102 0.43739 0.769548 0.874003 0.376934 0.0401409
Fro PrCG 204 102 0 0.944328 0.798493 0.838634 0.946656 0.108022
Fro SbCG/S 255 102 153 0.586052 0.599163 0.319347 0.421162 0.639396
Fro CS 255 51 0 0.904107 0.158462 0.835159 0.731942 0.013111

Ins ALSHorp 0 255 204 0.426026 0.325782 0.104662 0.428916 0.101814
Ins ACirInS 102 255 255 0.623148 0.6187 0.779997 0.488031 0.482945
Ins ALSVerp 0 255 255 0.98955 0.925851 0.642174 0.747365 0.254355
Ins ShoInG 51 255 204 0.956569 0.515966 0.221398 0.299632 0.676697
Ins SupCirInS 0 153 153 0.810162 0.00635903 0.28057 0.919172 0.896782
Ins LoInG/CInS 0 204 204 0.36738 0.407252 0.874503 0.95226 0.759896
Ins InfCirInS 0 102 102 0.99036 0.150404 0.548236 0.237134 0.720292
Ins PosLS 204 255 255 0.771846 0.458766 0.731223 0.197155 0.907623

Lim ACgG/S 255 255 180 0.399686 0.345312 0.201031 0.322008 0.377663
Lim MACgG/S 255 240 191 0.336171 0.570686 0.437 0.87439 0.899756
Lim SbCaG 255 153 200 0.643938 0.517941 0.894874 0.839202 0.77888
Lim PerCaS 255 164 200 0.637695 0.476329 0.422985 0.00903642 0.324255
Lim MPosCgG/S 255 224 203 0.608199 0.927547 0.348708 0.252815 0.194231
Lim CgSMarp 255 192 201 0.411277 0.246436 0.978378 0.470215 0.995553
Lim PosDCgG 255 175 201 0.682345 0.802097 0.85046 0.276486 0.161296
Lim PosVCgG 255 208 202 0.602268 0.70693 0.135846 0.758994 0.708034

Tem TPo 255 204 255 0.561124 0.203298 0.950663 0.907232 0.936301
Tem PoPl 204 153 255 0.423198 0.644596 0.944228 0.75439 0.716323
